2024-09-13 15:37:08,001 INFO    StreamThr :2614117 [internal.py:wandb_internal():86] W&B internal server running at pid: 2614117, started at: 2024-09-13 15:37:08.001097
2024-09-13 15:37:08,027 DEBUG   HandlerThread:2614117 [handler.py:handle_request():144] handle_request: status
2024-09-13 15:37:08,031 INFO    WriterThread:2614117 [datastore.py:open_for_write():85] open: /home/rpgsbs/r01al21/PycharmProjects/pythonProject/ES2/wandb/offline-run-20240913_153707-i0o2ofpj/run-i0o2ofpj.wandb
2024-09-13 15:37:08,086 DEBUG   HandlerThread:2614117 [handler.py:handle_request():144] handle_request: run_start
2024-09-13 15:37:08,123 DEBUG   HandlerThread:2614117 [system_info.py:__init__():31] System info init
2024-09-13 15:37:08,123 DEBUG   HandlerThread:2614117 [system_info.py:__init__():46] System info init done
2024-09-13 15:37:08,123 INFO    HandlerThread:2614117 [system_monitor.py:start():181] Starting system monitor
2024-09-13 15:37:08,125 INFO    SystemMonitor:2614117 [system_monitor.py:_start():145] Starting system asset monitoring threads
2024-09-13 15:37:08,128 INFO    SystemMonitor:2614117 [interfaces.py:start():190] Started cpu monitoring
2024-09-13 15:37:08,130 INFO    HandlerThread:2614117 [system_monitor.py:probe():201] Collecting system info
2024-09-13 15:37:08,131 INFO    SystemMonitor:2614117 [interfaces.py:start():190] Started disk monitoring
2024-09-13 15:37:08,136 INFO    SystemMonitor:2614117 [interfaces.py:start():190] Started gpu monitoring
2024-09-13 15:37:08,138 INFO    SystemMonitor:2614117 [interfaces.py:start():190] Started memory monitoring
2024-09-13 15:37:08,138 INFO    SystemMonitor:2614117 [interfaces.py:start():190] Started network monitoring
2024-09-13 15:37:08,364 DEBUG   HandlerThread:2614117 [system_info.py:probe():195] Probing system
2024-09-13 15:37:08,365 DEBUG   HandlerThread:2614117 [system_info.py:_probe_git():180] Probing git
2024-09-13 15:37:08,376 DEBUG   HandlerThread:2614117 [system_info.py:_probe_git():188] Probing git done
2024-09-13 15:37:08,376 DEBUG   HandlerThread:2614117 [system_info.py:probe():240] Probing system done
